,T1D0,T1D1,T2D0,T3D0,T3D1,HeavyRain,LightRain,Rain,Sunny,DayOfWeek,BeforeNationalDay,NationalDayFront(1-4),NationalDayTail(5-7),Weekend,WorkingDay,WorkingWeekend
2016-09-19 09:40:00,44.0,131.0,59.0,148.0,116.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 10:00:00,44.0,101.0,71.0,104.0,117.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 10:20:00,44.0,105.0,88.0,111.0,87.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 10:40:00,44.0,102.0,65.0,122.0,85.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 11:00:00,39.0,86.0,50.0,111.0,73.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 11:20:00,30.0,76.0,61.0,82.0,72.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 11:40:00,34.0,100.0,46.0,91.0,73.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 12:00:00,45.0,99.0,87.0,104.0,94.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 12:20:00,44.0,70.0,66.0,91.0,86.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 12:40:00,53.0,79.0,69.0,122.0,94.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 13:00:00,57.0,100.0,81.0,117.0,91.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 13:20:00,61.0,108.0,95.0,107.0,110.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 13:40:00,53.0,106.0,67.0,131.0,100.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 14:00:00,55.0,101.0,66.0,100.0,95.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 14:20:00,52.0,100.0,62.0,84.0,99.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 14:40:00,52.0,101.0,79.0,107.0,93.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 15:00:00,48.0,77.0,77.0,117.0,75.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 15:20:00,57.0,104.0,67.0,109.0,95.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 15:40:00,43.0,92.0,74.0,115.0,83.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 16:00:00,42.0,110.0,76.0,123.0,101.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 16:20:00,46.0,122.0,86.0,111.0,90.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 16:40:00,55.0,116.0,99.0,116.0,115.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 17:00:00,36.0,96.0,85.0,110.0,86.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 17:20:00,34.0,116.0,72.0,118.0,85.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 17:40:00,24.0,112.0,53.0,95.0,91.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 18:00:00,29.0,67.0,55.0,94.0,73.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 18:20:00,27.0,94.0,50.0,56.0,78.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 18:40:00,18.0,65.0,49.0,61.0,77.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 19:00:00,13.0,62.0,44.0,51.0,44.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 19:20:00,22.0,44.0,49.0,61.0,45.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 19:40:00,27.0,41.0,41.0,50.0,46.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 20:00:00,17.0,48.0,56.0,55.0,32.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 20:20:00,16.0,34.0,21.0,29.0,40.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 20:40:00,17.0,39.0,35.0,41.0,42.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 21:00:00,17.0,24.0,29.0,32.0,30.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 21:20:00,22.0,35.0,20.0,34.0,37.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 21:40:00,5.0,30.0,24.0,30.0,33.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 22:00:00,4.0,21.0,21.0,22.0,16.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 22:20:00,9.0,24.0,12.0,24.0,13.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 22:40:00,3.0,23.0,24.0,12.0,21.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 23:00:00,1.0,16.0,16.0,6.0,7.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 23:20:00,7.0,10.0,6.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 23:40:00,6.0,13.0,12.0,22.0,16.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-20 00:00:00,14.0,139.0,0.0,17.0,231.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 00:20:00,13.0,80.0,2.0,13.0,148.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 00:40:00,7.0,37.0,2.0,17.0,92.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 01:00:00,6.0,6.0,0.0,15.0,9.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 01:20:00,5.0,8.0,1.0,14.0,10.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 01:40:00,5.0,11.0,0.0,18.0,5.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 02:00:00,6.0,8.0,0.0,12.0,4.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 02:20:00,9.0,12.0,0.0,17.0,4.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 02:40:00,7.0,8.0,0.0,13.0,8.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 03:00:00,10.0,2.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 03:20:00,8.0,13.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 03:40:00,5.0,18.0,0.0,11.0,6.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 04:00:00,11.0,20.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 04:20:00,8.0,17.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 04:40:00,15.0,20.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 05:00:00,9.0,27.0,5.0,12.0,12.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 05:20:00,4.0,37.0,18.0,17.0,12.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 05:40:00,10.0,35.0,21.0,20.0,18.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 06:00:00,13.0,47.0,33.0,31.0,24.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 06:20:00,20.0,59.0,31.0,43.0,43.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 06:40:00,29.0,69.0,54.0,80.0,66.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 07:00:00,38.0,88.0,79.0,113.0,83.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 07:20:00,30.0,126.0,86.0,141.0,97.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 07:40:00,31.0,139.0,93.0,136.0,122.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 08:00:00,53.0,132.0,112.0,145.0,154.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 08:20:00,50.0,151.0,111.0,173.0,209.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 08:40:00,45.0,131.0,112.0,154.0,210.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 09:00:00,51.0,150.0,105.0,144.0,191.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 09:20:00,68.0,142.0,99.0,142.0,222.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 09:40:00,59.0,173.0,87.0,144.0,174.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 10:00:00,56.0,96.0,85.0,123.0,81.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 10:20:00,60.0,92.0,76.0,137.0,97.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 10:40:00,63.0,92.0,80.0,114.0,77.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 11:00:00,57.0,90.0,63.0,120.0,79.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 11:20:00,64.0,98.0,46.0,102.0,82.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 11:40:00,50.0,87.0,55.0,111.0,83.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 12:00:00,53.0,86.0,73.0,101.0,109.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 12:20:00,62.0,82.0,88.0,122.0,78.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 12:40:00,75.0,70.0,80.0,133.0,92.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 13:00:00,98.0,99.0,75.0,130.0,94.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 13:20:00,82.0,95.0,96.0,143.0,88.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 13:40:00,84.0,103.0,69.0,136.0,99.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 14:00:00,81.0,105.0,81.0,131.0,99.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 14:20:00,90.0,94.0,72.0,141.0,81.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 14:40:00,67.0,99.0,70.0,122.0,89.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 15:00:00,71.0,78.0,62.0,124.0,80.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 15:20:00,64.0,79.0,69.0,132.0,73.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 15:40:00,73.0,71.0,69.0,131.0,87.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 16:00:00,48.0,95.0,82.0,122.0,85.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 16:20:00,57.0,96.0,76.0,113.0,97.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 16:40:00,48.0,95.0,64.0,122.0,96.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 17:00:00,38.0,111.0,82.0,126.0,84.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 17:20:00,42.0,110.0,86.0,116.0,86.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 17:40:00,38.0,133.0,85.0,95.0,106.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 18:00:00,26.0,78.0,77.0,81.0,90.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 18:20:00,29.0,60.0,60.0,100.0,84.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 18:40:00,20.0,53.0,56.0,63.0,88.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 19:00:00,17.0,44.0,61.0,59.0,53.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 19:20:00,29.0,52.0,27.0,52.0,52.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 19:40:00,21.0,49.0,40.0,48.0,50.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 20:00:00,12.0,34.0,35.0,62.0,62.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 20:20:00,16.0,42.0,31.0,55.0,48.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 20:40:00,16.0,37.0,30.0,45.0,49.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 21:00:00,17.0,41.0,27.0,47.0,29.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 21:20:00,29.0,42.0,21.0,38.0,44.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 21:40:00,37.0,39.0,5.0,32.0,38.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 22:00:00,30.0,32.0,5.0,27.0,23.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 22:20:00,17.0,30.0,6.0,22.0,33.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 22:40:00,19.0,24.0,0.0,29.0,34.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 23:00:00,20.0,12.0,5.0,13.0,10.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 23:20:00,7.0,22.0,7.0,27.0,20.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-20 23:40:00,11.0,14.0,5.0,23.0,13.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0
2016-09-21 00:00:00,12.0,97.0,2.0,19.0,124.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 00:20:00,6.0,64.0,2.0,17.0,116.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 00:40:00,7.0,41.0,2.0,13.0,54.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 01:00:00,7.0,9.0,0.0,17.0,7.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 01:20:00,4.0,8.0,1.0,16.0,5.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 01:40:00,6.0,13.0,1.0,17.0,7.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 02:00:00,6.0,10.0,0.0,9.0,7.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 02:20:00,10.0,7.0,0.0,12.0,7.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 02:40:00,6.0,10.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 03:00:00,5.0,12.0,0.0,14.0,4.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 03:20:00,6.0,15.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 03:40:00,10.0,19.0,0.0,11.0,6.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 04:00:00,16.0,18.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 04:20:00,14.0,18.0,0.0,12.0,3.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 04:40:00,11.0,18.0,0.0,15.0,5.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 05:00:00,10.0,31.0,1.0,16.0,6.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 05:20:00,14.0,28.0,5.0,16.0,11.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 05:40:00,28.0,30.0,6.0,25.0,11.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 06:00:00,36.0,36.0,6.0,32.0,20.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 06:20:00,41.0,50.0,9.0,47.0,42.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 06:40:00,75.0,71.0,14.0,85.0,37.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 07:00:00,78.0,77.0,42.0,116.0,66.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 07:20:00,84.0,94.0,37.0,133.0,92.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 07:40:00,95.0,99.0,44.0,151.0,89.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 08:00:00,122.0,100.0,37.0,135.0,126.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 08:20:00,126.0,105.0,30.0,163.0,122.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 08:40:00,77.0,119.0,66.0,120.0,149.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 09:00:00,49.0,137.0,104.0,139.0,131.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 09:20:00,55.0,132.0,100.0,120.0,83.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 09:40:00,53.0,122.0,80.0,130.0,78.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 10:00:00,36.0,96.0,72.0,114.0,71.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 10:20:00,57.0,98.0,67.0,115.0,87.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 10:40:00,37.0,89.0,74.0,118.0,80.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 11:00:00,32.0,77.0,45.0,76.0,70.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 11:20:00,27.0,79.0,58.0,101.0,72.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 11:40:00,32.0,78.0,50.0,97.0,82.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 12:00:00,45.0,84.0,63.0,68.0,88.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 12:20:00,42.0,96.0,42.0,79.0,85.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 12:40:00,38.0,90.0,55.0,110.0,102.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 13:00:00,44.0,87.0,82.0,99.0,100.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 13:20:00,41.0,87.0,72.0,113.0,108.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 13:40:00,51.0,105.0,62.0,95.0,99.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 14:00:00,53.0,104.0,78.0,108.0,74.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 14:20:00,43.0,93.0,79.0,93.0,98.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 14:40:00,54.0,103.0,66.0,102.0,100.0,0.0,1.0,0.0,0.0,3.0,0,0,0,0,1,0
2016-09-21 15:00:00,48.0,98.0,63.0,113.0,98.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 15:20:00,46.0,96.0,81.0,114.0,108.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 15:40:00,49.0,90.0,77.0,89.0,99.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 16:00:00,46.0,105.0,66.0,109.0,87.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 16:20:00,45.0,97.0,81.0,118.0,88.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 16:40:00,46.0,98.0,99.0,124.0,100.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 17:00:00,47.0,94.0,88.0,118.0,77.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 17:20:00,35.0,109.0,77.0,116.0,94.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 17:40:00,20.0,94.0,83.0,100.0,95.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 18:00:00,20.0,74.0,58.0,90.0,67.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 18:20:00,20.0,85.0,72.0,72.0,75.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 18:40:00,24.0,78.0,49.0,52.0,68.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 19:00:00,19.0,46.0,47.0,64.0,60.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 19:20:00,19.0,40.0,35.0,48.0,52.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 19:40:00,25.0,49.0,38.0,65.0,39.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 20:00:00,20.0,43.0,38.0,42.0,49.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 20:20:00,15.0,47.0,18.0,40.0,40.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 20:40:00,30.0,26.0,24.0,42.0,35.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 21:00:00,13.0,29.0,27.0,42.0,41.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 21:20:00,18.0,33.0,32.0,43.0,46.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 21:40:00,11.0,28.0,26.0,35.0,30.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 22:00:00,11.0,26.0,24.0,24.0,20.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
2016-09-21 22:20:00,8.0,23.0,21.0,33.0,15.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0
