volume,time,tollgate_direction
13,2016-09-19 05:40:00,T3D1
27,2016-09-19 05:40:00,T3D0
21,2016-09-19 05:40:00,T2D0
39,2016-09-19 06:00:00,T1D1
8,2016-09-19 06:00:00,T1D0
30,2016-09-19 06:00:00,T3D1
39,2016-09-19 06:00:00,T3D0
30,2016-09-19 06:00:00,T2D0
57,2016-09-19 06:20:00,T1D1
13,2016-09-19 06:20:00,T1D0
38,2016-09-19 06:20:00,T3D1
58,2016-09-19 06:20:00,T3D0
36,2016-09-19 06:20:00,T2D0
72,2016-09-19 06:40:00,T1D1
32,2016-09-19 06:40:00,T1D0
65,2016-09-19 06:40:00,T3D1
71,2016-09-19 06:40:00,T3D0
37,2016-09-19 06:40:00,T2D0
70,2016-09-19 07:00:00,T1D1
39,2016-09-19 07:00:00,T1D0
67,2016-09-19 07:00:00,T3D1
127,2016-09-19 07:00:00,T3D0
84,2016-09-19 07:00:00,T2D0
83,2016-09-19 07:20:00,T1D1
31,2016-09-19 07:20:00,T1D0
71,2016-09-19 07:20:00,T3D1
123,2016-09-19 07:20:00,T3D0
80,2016-09-19 07:20:00,T2D0
118,2016-09-19 07:40:00,T1D1
43,2016-09-19 07:40:00,T1D0
103,2016-09-19 07:40:00,T3D1
153,2016-09-19 07:40:00,T3D0
97,2016-09-19 07:40:00,T2D0
123,2016-09-19 08:00:00,T1D1
46,2016-09-19 08:00:00,T1D0
118,2016-09-19 08:00:00,T3D1
161,2016-09-19 08:00:00,T3D0
129,2016-09-19 08:00:00,T2D0
119,2016-09-19 08:20:00,T1D1
56,2016-09-19 08:20:00,T1D0
168,2016-09-19 08:20:00,T3D1
167,2016-09-19 08:20:00,T3D0
122,2016-09-19 08:20:00,T2D0
116,2016-09-19 08:40:00,T1D1
41,2016-09-19 08:40:00,T1D0
161,2016-09-19 08:40:00,T3D1
138,2016-09-19 08:40:00,T3D0
98,2016-09-19 08:40:00,T2D0
120,2016-09-19 09:00:00,T1D1
50,2016-09-19 09:00:00,T1D0
145,2016-09-19 09:00:00,T3D1
174,2016-09-19 09:00:00,T3D0
89,2016-09-19 09:00:00,T2D0
151,2016-09-19 09:20:00,T1D1
49,2016-09-19 09:20:00,T1D0
125,2016-09-19 09:20:00,T3D1
144,2016-09-19 09:20:00,T3D0
78,2016-09-19 09:20:00,T2D0
131,2016-09-19 09:40:00,T1D1
44,2016-09-19 09:40:00,T1D0
116,2016-09-19 09:40:00,T3D1
148,2016-09-19 09:40:00,T3D0
59,2016-09-19 09:40:00,T2D0
101,2016-09-19 10:00:00,T1D1
44,2016-09-19 10:00:00,T1D0
117,2016-09-19 10:00:00,T3D1
104,2016-09-19 10:00:00,T3D0
71,2016-09-19 10:00:00,T2D0
105,2016-09-19 10:20:00,T1D1
44,2016-09-19 10:20:00,T1D0
87,2016-09-19 10:20:00,T3D1
111,2016-09-19 10:20:00,T3D0
88,2016-09-19 10:20:00,T2D0
102,2016-09-19 10:40:00,T1D1
44,2016-09-19 10:40:00,T1D0
85,2016-09-19 10:40:00,T3D1
122,2016-09-19 10:40:00,T3D0
65,2016-09-19 10:40:00,T2D0
86,2016-09-19 11:00:00,T1D1
39,2016-09-19 11:00:00,T1D0
73,2016-09-19 11:00:00,T3D1
111,2016-09-19 11:00:00,T3D0
50,2016-09-19 11:00:00,T2D0
76,2016-09-19 11:20:00,T1D1
30,2016-09-19 11:20:00,T1D0
72,2016-09-19 11:20:00,T3D1
82,2016-09-19 11:20:00,T3D0
61,2016-09-19 11:20:00,T2D0
100,2016-09-19 11:40:00,T1D1
34,2016-09-19 11:40:00,T1D0
73,2016-09-19 11:40:00,T3D1
91,2016-09-19 11:40:00,T3D0
46,2016-09-19 11:40:00,T2D0
99,2016-09-19 12:00:00,T1D1
45,2016-09-19 12:00:00,T1D0
94,2016-09-19 12:00:00,T3D1
104,2016-09-19 12:00:00,T3D0
87,2016-09-19 12:00:00,T2D0
70,2016-09-19 12:20:00,T1D1
44,2016-09-19 12:20:00,T1D0
86,2016-09-19 12:20:00,T3D1
91,2016-09-19 12:20:00,T3D0
66,2016-09-19 12:20:00,T2D0
79,2016-09-19 12:40:00,T1D1
53,2016-09-19 12:40:00,T1D0
94,2016-09-19 12:40:00,T3D1
122,2016-09-19 12:40:00,T3D0
69,2016-09-19 12:40:00,T2D0
100,2016-09-19 13:00:00,T1D1
57,2016-09-19 13:00:00,T1D0
91,2016-09-19 13:00:00,T3D1
117,2016-09-19 13:00:00,T3D0
81,2016-09-19 13:00:00,T2D0
108,2016-09-19 13:20:00,T1D1
61,2016-09-19 13:20:00,T1D0
110,2016-09-19 13:20:00,T3D1
107,2016-09-19 13:20:00,T3D0
95,2016-09-19 13:20:00,T2D0
106,2016-09-19 13:40:00,T1D1
53,2016-09-19 13:40:00,T1D0
100,2016-09-19 13:40:00,T3D1
131,2016-09-19 13:40:00,T3D0
67,2016-09-19 13:40:00,T2D0
101,2016-09-19 14:00:00,T1D1
55,2016-09-19 14:00:00,T1D0
95,2016-09-19 14:00:00,T3D1
100,2016-09-19 14:00:00,T3D0
66,2016-09-19 14:00:00,T2D0
100,2016-09-19 14:20:00,T1D1
52,2016-09-19 14:20:00,T1D0
99,2016-09-19 14:20:00,T3D1
84,2016-09-19 14:20:00,T3D0
62,2016-09-19 14:20:00,T2D0
101,2016-09-19 14:40:00,T1D1
52,2016-09-19 14:40:00,T1D0
93,2016-09-19 14:40:00,T3D1
107,2016-09-19 14:40:00,T3D0
79,2016-09-19 14:40:00,T2D0
77,2016-09-19 15:00:00,T1D1
48,2016-09-19 15:00:00,T1D0
75,2016-09-19 15:00:00,T3D1
117,2016-09-19 15:00:00,T3D0
77,2016-09-19 15:00:00,T2D0
104,2016-09-19 15:20:00,T1D1
57,2016-09-19 15:20:00,T1D0
95,2016-09-19 15:20:00,T3D1
109,2016-09-19 15:20:00,T3D0
67,2016-09-19 15:20:00,T2D0
92,2016-09-19 15:40:00,T1D1
43,2016-09-19 15:40:00,T1D0
83,2016-09-19 15:40:00,T3D1
115,2016-09-19 15:40:00,T3D0
74,2016-09-19 15:40:00,T2D0
110,2016-09-19 16:00:00,T1D1
42,2016-09-19 16:00:00,T1D0
101,2016-09-19 16:00:00,T3D1
123,2016-09-19 16:00:00,T3D0
76,2016-09-19 16:00:00,T2D0
122,2016-09-19 16:20:00,T1D1
46,2016-09-19 16:20:00,T1D0
90,2016-09-19 16:20:00,T3D1
111,2016-09-19 16:20:00,T3D0
86,2016-09-19 16:20:00,T2D0
116,2016-09-19 16:40:00,T1D1
55,2016-09-19 16:40:00,T1D0
115,2016-09-19 16:40:00,T3D1
116,2016-09-19 16:40:00,T3D0
99,2016-09-19 16:40:00,T2D0
96,2016-09-19 17:00:00,T1D1
36,2016-09-19 17:00:00,T1D0
86,2016-09-19 17:00:00,T3D1
110,2016-09-19 17:00:00,T3D0
85,2016-09-19 17:00:00,T2D0
116,2016-09-19 17:20:00,T1D1
34,2016-09-19 17:20:00,T1D0
85,2016-09-19 17:20:00,T3D1
118,2016-09-19 17:20:00,T3D0
72,2016-09-19 17:20:00,T2D0
112,2016-09-19 17:40:00,T1D1
24,2016-09-19 17:40:00,T1D0
91,2016-09-19 17:40:00,T3D1
95,2016-09-19 17:40:00,T3D0
53,2016-09-19 17:40:00,T2D0
67,2016-09-19 18:00:00,T1D1
29,2016-09-19 18:00:00,T1D0
73,2016-09-19 18:00:00,T3D1
94,2016-09-19 18:00:00,T3D0
55,2016-09-19 18:00:00,T2D0
94,2016-09-19 18:20:00,T1D1
27,2016-09-19 18:20:00,T1D0
78,2016-09-19 18:20:00,T3D1
56,2016-09-19 18:20:00,T3D0
50,2016-09-19 18:20:00,T2D0
65,2016-09-19 18:40:00,T1D1
18,2016-09-19 18:40:00,T1D0
77,2016-09-19 18:40:00,T3D1
61,2016-09-19 18:40:00,T3D0
49,2016-09-19 18:40:00,T2D0
62,2016-09-19 19:00:00,T1D1
13,2016-09-19 19:00:00,T1D0
44,2016-09-19 19:00:00,T3D1
51,2016-09-19 19:00:00,T3D0
44,2016-09-19 19:00:00,T2D0
44,2016-09-19 19:20:00,T1D1
22,2016-09-19 19:20:00,T1D0
45,2016-09-19 19:20:00,T3D1
61,2016-09-19 19:20:00,T3D0
49,2016-09-19 19:20:00,T2D0
41,2016-09-19 19:40:00,T1D1
27,2016-09-19 19:40:00,T1D0
46,2016-09-19 19:40:00,T3D1
50,2016-09-19 19:40:00,T3D0
41,2016-09-19 19:40:00,T2D0
48,2016-09-19 20:00:00,T1D1
17,2016-09-19 20:00:00,T1D0
32,2016-09-19 20:00:00,T3D1
55,2016-09-19 20:00:00,T3D0
56,2016-09-19 20:00:00,T2D0
34,2016-09-19 20:20:00,T1D1
16,2016-09-19 20:20:00,T1D0
40,2016-09-19 20:20:00,T3D1
29,2016-09-19 20:20:00,T3D0
21,2016-09-19 20:20:00,T2D0
39,2016-09-19 20:40:00,T1D1
17,2016-09-19 20:40:00,T1D0
42,2016-09-19 20:40:00,T3D1
41,2016-09-19 20:40:00,T3D0
35,2016-09-19 20:40:00,T2D0
24,2016-09-19 21:00:00,T1D1
17,2016-09-19 21:00:00,T1D0
30,2016-09-19 21:00:00,T3D1
32,2016-09-19 21:00:00,T3D0
29,2016-09-19 21:00:00,T2D0
35,2016-09-19 21:20:00,T1D1
22,2016-09-19 21:20:00,T1D0
37,2016-09-19 21:20:00,T3D1
34,2016-09-19 21:20:00,T3D0
20,2016-09-19 21:20:00,T2D0
30,2016-09-19 21:40:00,T1D1
5,2016-09-19 21:40:00,T1D0
33,2016-09-19 21:40:00,T3D1
30,2016-09-19 21:40:00,T3D0
24,2016-09-19 21:40:00,T2D0
21,2016-09-19 22:00:00,T1D1
4,2016-09-19 22:00:00,T1D0
16,2016-09-19 22:00:00,T3D1
22,2016-09-19 22:00:00,T3D0
21,2016-09-19 22:00:00,T2D0
24,2016-09-19 22:20:00,T1D1
9,2016-09-19 22:20:00,T1D0
13,2016-09-19 22:20:00,T3D1
24,2016-09-19 22:20:00,T3D0
12,2016-09-19 22:20:00,T2D0
23,2016-09-19 22:40:00,T1D1
3,2016-09-19 22:40:00,T1D0
21,2016-09-19 22:40:00,T3D1
12,2016-09-19 22:40:00,T3D0
24,2016-09-19 22:40:00,T2D0
16,2016-09-19 23:00:00,T1D1
1,2016-09-19 23:00:00,T1D0
7,2016-09-19 23:00:00,T3D1
6,2016-09-19 23:00:00,T3D0
16,2016-09-19 23:00:00,T2D0
10,2016-09-19 23:20:00,T1D1
7,2016-09-19 23:20:00,T1D0
11,2016-09-19 23:20:00,T3D1
11,2016-09-19 23:20:00,T3D0
6,2016-09-19 23:20:00,T2D0
13,2016-09-19 23:40:00,T1D1
6,2016-09-19 23:40:00,T1D0
16,2016-09-19 23:40:00,T3D1
22,2016-09-19 23:40:00,T3D0
12,2016-09-19 23:40:00,T2D0
139,2016-09-20 00:00:00,T1D1
14,2016-09-20 00:00:00,T1D0
231,2016-09-20 00:00:00,T3D1
17,2016-09-20 00:00:00,T3D0
80,2016-09-20 00:20:00,T1D1
13,2016-09-20 00:20:00,T1D0
148,2016-09-20 00:20:00,T3D1
13,2016-09-20 00:20:00,T3D0
2,2016-09-20 00:20:00,T2D0
37,2016-09-20 00:40:00,T1D1
7,2016-09-20 00:40:00,T1D0
92,2016-09-20 00:40:00,T3D1
17,2016-09-20 00:40:00,T3D0
2,2016-09-20 00:40:00,T2D0
6,2016-09-20 01:00:00,T1D1
6,2016-09-20 01:00:00,T1D0
9,2016-09-20 01:00:00,T3D1
15,2016-09-20 01:00:00,T3D0
8,2016-09-20 01:20:00,T1D1
5,2016-09-20 01:20:00,T1D0
10,2016-09-20 01:20:00,T3D1
14,2016-09-20 01:20:00,T3D0
1,2016-09-20 01:20:00,T2D0
11,2016-09-20 01:40:00,T1D1
5,2016-09-20 01:40:00,T1D0
5,2016-09-20 01:40:00,T3D1
18,2016-09-20 01:40:00,T3D0
8,2016-09-20 02:00:00,T1D1
6,2016-09-20 02:00:00,T1D0
4,2016-09-20 02:00:00,T3D1
12,2016-09-20 02:00:00,T3D0
12,2016-09-20 02:20:00,T1D1
9,2016-09-20 02:20:00,T1D0
4,2016-09-20 02:20:00,T3D1
17,2016-09-20 02:20:00,T3D0
8,2016-09-20 02:40:00,T1D1
7,2016-09-20 02:40:00,T1D0
8,2016-09-20 02:40:00,T3D1
13,2016-09-20 02:40:00,T3D0
2,2016-09-20 03:00:00,T1D1
10,2016-09-20 03:00:00,T1D0
6,2016-09-20 03:00:00,T3D1
7,2016-09-20 03:00:00,T3D0
13,2016-09-20 03:20:00,T1D1
8,2016-09-20 03:20:00,T1D0
3,2016-09-20 03:20:00,T3D1
8,2016-09-20 03:20:00,T3D0
18,2016-09-20 03:40:00,T1D1
5,2016-09-20 03:40:00,T1D0
6,2016-09-20 03:40:00,T3D1
11,2016-09-20 03:40:00,T3D0
20,2016-09-20 04:00:00,T1D1
11,2016-09-20 04:00:00,T1D0
6,2016-09-20 04:00:00,T3D1
10,2016-09-20 04:00:00,T3D0
17,2016-09-20 04:20:00,T1D1
8,2016-09-20 04:20:00,T1D0
6,2016-09-20 04:20:00,T3D1
9,2016-09-20 04:20:00,T3D0
20,2016-09-20 04:40:00,T1D1
15,2016-09-20 04:40:00,T1D0
4,2016-09-20 04:40:00,T3D1
11,2016-09-20 04:40:00,T3D0
27,2016-09-20 05:00:00,T1D1
9,2016-09-20 05:00:00,T1D0
12,2016-09-20 05:00:00,T3D1
12,2016-09-20 05:00:00,T3D0
5,2016-09-20 05:00:00,T2D0
37,2016-09-20 05:20:00,T1D1
4,2016-09-20 05:20:00,T1D0
12,2016-09-20 05:20:00,T3D1
17,2016-09-20 05:20:00,T3D0
18,2016-09-20 05:20:00,T2D0
35,2016-09-20 05:40:00,T1D1
10,2016-09-20 05:40:00,T1D0
18,2016-09-20 05:40:00,T3D1
20,2016-09-20 05:40:00,T3D0
21,2016-09-20 05:40:00,T2D0
47,2016-09-20 06:00:00,T1D1
13,2016-09-20 06:00:00,T1D0
24,2016-09-20 06:00:00,T3D1
31,2016-09-20 06:00:00,T3D0
33,2016-09-20 06:00:00,T2D0
59,2016-09-20 06:20:00,T1D1
20,2016-09-20 06:20:00,T1D0
43,2016-09-20 06:20:00,T3D1
43,2016-09-20 06:20:00,T3D0
31,2016-09-20 06:20:00,T2D0
69,2016-09-20 06:40:00,T1D1
29,2016-09-20 06:40:00,T1D0
66,2016-09-20 06:40:00,T3D1
80,2016-09-20 06:40:00,T3D0
54,2016-09-20 06:40:00,T2D0
88,2016-09-20 07:00:00,T1D1
38,2016-09-20 07:00:00,T1D0
83,2016-09-20 07:00:00,T3D1
113,2016-09-20 07:00:00,T3D0
79,2016-09-20 07:00:00,T2D0
126,2016-09-20 07:20:00,T1D1
30,2016-09-20 07:20:00,T1D0
97,2016-09-20 07:20:00,T3D1
141,2016-09-20 07:20:00,T3D0
86,2016-09-20 07:20:00,T2D0
139,2016-09-20 07:40:00,T1D1
31,2016-09-20 07:40:00,T1D0
122,2016-09-20 07:40:00,T3D1
136,2016-09-20 07:40:00,T3D0
93,2016-09-20 07:40:00,T2D0
132,2016-09-20 08:00:00,T1D1
53,2016-09-20 08:00:00,T1D0
154,2016-09-20 08:00:00,T3D1
145,2016-09-20 08:00:00,T3D0
112,2016-09-20 08:00:00,T2D0
151,2016-09-20 08:20:00,T1D1
50,2016-09-20 08:20:00,T1D0
209,2016-09-20 08:20:00,T3D1
173,2016-09-20 08:20:00,T3D0
111,2016-09-20 08:20:00,T2D0
131,2016-09-20 08:40:00,T1D1
45,2016-09-20 08:40:00,T1D0
210,2016-09-20 08:40:00,T3D1
154,2016-09-20 08:40:00,T3D0
112,2016-09-20 08:40:00,T2D0
150,2016-09-20 09:00:00,T1D1
51,2016-09-20 09:00:00,T1D0
191,2016-09-20 09:00:00,T3D1
144,2016-09-20 09:00:00,T3D0
105,2016-09-20 09:00:00,T2D0
142,2016-09-20 09:20:00,T1D1
68,2016-09-20 09:20:00,T1D0
222,2016-09-20 09:20:00,T3D1
142,2016-09-20 09:20:00,T3D0
99,2016-09-20 09:20:00,T2D0
173,2016-09-20 09:40:00,T1D1
59,2016-09-20 09:40:00,T1D0
174,2016-09-20 09:40:00,T3D1
144,2016-09-20 09:40:00,T3D0
87,2016-09-20 09:40:00,T2D0
96,2016-09-20 10:00:00,T1D1
56,2016-09-20 10:00:00,T1D0
81,2016-09-20 10:00:00,T3D1
123,2016-09-20 10:00:00,T3D0
85,2016-09-20 10:00:00,T2D0
92,2016-09-20 10:20:00,T1D1
60,2016-09-20 10:20:00,T1D0
97,2016-09-20 10:20:00,T3D1
137,2016-09-20 10:20:00,T3D0
76,2016-09-20 10:20:00,T2D0
92,2016-09-20 10:40:00,T1D1
63,2016-09-20 10:40:00,T1D0
77,2016-09-20 10:40:00,T3D1
114,2016-09-20 10:40:00,T3D0
80,2016-09-20 10:40:00,T2D0
90,2016-09-20 11:00:00,T1D1
57,2016-09-20 11:00:00,T1D0
79,2016-09-20 11:00:00,T3D1
120,2016-09-20 11:00:00,T3D0
63,2016-09-20 11:00:00,T2D0
98,2016-09-20 11:20:00,T1D1
64,2016-09-20 11:20:00,T1D0
82,2016-09-20 11:20:00,T3D1
102,2016-09-20 11:20:00,T3D0
46,2016-09-20 11:20:00,T2D0
87,2016-09-20 11:40:00,T1D1
50,2016-09-20 11:40:00,T1D0
83,2016-09-20 11:40:00,T3D1
111,2016-09-20 11:40:00,T3D0
55,2016-09-20 11:40:00,T2D0
86,2016-09-20 12:00:00,T1D1
53,2016-09-20 12:00:00,T1D0
109,2016-09-20 12:00:00,T3D1
101,2016-09-20 12:00:00,T3D0
73,2016-09-20 12:00:00,T2D0
82,2016-09-20 12:20:00,T1D1
62,2016-09-20 12:20:00,T1D0
78,2016-09-20 12:20:00,T3D1
122,2016-09-20 12:20:00,T3D0
88,2016-09-20 12:20:00,T2D0
70,2016-09-20 12:40:00,T1D1
75,2016-09-20 12:40:00,T1D0
92,2016-09-20 12:40:00,T3D1
133,2016-09-20 12:40:00,T3D0
80,2016-09-20 12:40:00,T2D0
99,2016-09-20 13:00:00,T1D1
98,2016-09-20 13:00:00,T1D0
94,2016-09-20 13:00:00,T3D1
130,2016-09-20 13:00:00,T3D0
75,2016-09-20 13:00:00,T2D0
95,2016-09-20 13:20:00,T1D1
82,2016-09-20 13:20:00,T1D0
88,2016-09-20 13:20:00,T3D1
143,2016-09-20 13:20:00,T3D0
96,2016-09-20 13:20:00,T2D0
103,2016-09-20 13:40:00,T1D1
84,2016-09-20 13:40:00,T1D0
99,2016-09-20 13:40:00,T3D1
136,2016-09-20 13:40:00,T3D0
69,2016-09-20 13:40:00,T2D0
105,2016-09-20 14:00:00,T1D1
81,2016-09-20 14:00:00,T1D0
99,2016-09-20 14:00:00,T3D1
131,2016-09-20 14:00:00,T3D0
81,2016-09-20 14:00:00,T2D0
94,2016-09-20 14:20:00,T1D1
90,2016-09-20 14:20:00,T1D0
81,2016-09-20 14:20:00,T3D1
141,2016-09-20 14:20:00,T3D0
72,2016-09-20 14:20:00,T2D0
99,2016-09-20 14:40:00,T1D1
67,2016-09-20 14:40:00,T1D0
89,2016-09-20 14:40:00,T3D1
122,2016-09-20 14:40:00,T3D0
70,2016-09-20 14:40:00,T2D0
78,2016-09-20 15:00:00,T1D1
71,2016-09-20 15:00:00,T1D0
80,2016-09-20 15:00:00,T3D1
124,2016-09-20 15:00:00,T3D0
62,2016-09-20 15:00:00,T2D0
79,2016-09-20 15:20:00,T1D1
64,2016-09-20 15:20:00,T1D0
73,2016-09-20 15:20:00,T3D1
132,2016-09-20 15:20:00,T3D0
69,2016-09-20 15:20:00,T2D0
71,2016-09-20 15:40:00,T1D1
73,2016-09-20 15:40:00,T1D0
87,2016-09-20 15:40:00,T3D1
131,2016-09-20 15:40:00,T3D0
69,2016-09-20 15:40:00,T2D0
95,2016-09-20 16:00:00,T1D1
48,2016-09-20 16:00:00,T1D0
85,2016-09-20 16:00:00,T3D1
122,2016-09-20 16:00:00,T3D0
82,2016-09-20 16:00:00,T2D0
96,2016-09-20 16:20:00,T1D1
57,2016-09-20 16:20:00,T1D0
97,2016-09-20 16:20:00,T3D1
113,2016-09-20 16:20:00,T3D0
76,2016-09-20 16:20:00,T2D0
95,2016-09-20 16:40:00,T1D1
48,2016-09-20 16:40:00,T1D0
96,2016-09-20 16:40:00,T3D1
122,2016-09-20 16:40:00,T3D0
64,2016-09-20 16:40:00,T2D0
111,2016-09-20 17:00:00,T1D1
38,2016-09-20 17:00:00,T1D0
84,2016-09-20 17:00:00,T3D1
126,2016-09-20 17:00:00,T3D0
82,2016-09-20 17:00:00,T2D0
110,2016-09-20 17:20:00,T1D1
42,2016-09-20 17:20:00,T1D0
86,2016-09-20 17:20:00,T3D1
116,2016-09-20 17:20:00,T3D0
86,2016-09-20 17:20:00,T2D0
133,2016-09-20 17:40:00,T1D1
38,2016-09-20 17:40:00,T1D0
106,2016-09-20 17:40:00,T3D1
95,2016-09-20 17:40:00,T3D0
85,2016-09-20 17:40:00,T2D0
78,2016-09-20 18:00:00,T1D1
26,2016-09-20 18:00:00,T1D0
90,2016-09-20 18:00:00,T3D1
81,2016-09-20 18:00:00,T3D0
77,2016-09-20 18:00:00,T2D0
60,2016-09-20 18:20:00,T1D1
29,2016-09-20 18:20:00,T1D0
84,2016-09-20 18:20:00,T3D1
100,2016-09-20 18:20:00,T3D0
60,2016-09-20 18:20:00,T2D0
53,2016-09-20 18:40:00,T1D1
20,2016-09-20 18:40:00,T1D0
88,2016-09-20 18:40:00,T3D1
63,2016-09-20 18:40:00,T3D0
56,2016-09-20 18:40:00,T2D0
44,2016-09-20 19:00:00,T1D1
17,2016-09-20 19:00:00,T1D0
53,2016-09-20 19:00:00,T3D1
59,2016-09-20 19:00:00,T3D0
61,2016-09-20 19:00:00,T2D0
52,2016-09-20 19:20:00,T1D1
29,2016-09-20 19:20:00,T1D0
52,2016-09-20 19:20:00,T3D1
52,2016-09-20 19:20:00,T3D0
27,2016-09-20 19:20:00,T2D0
49,2016-09-20 19:40:00,T1D1
21,2016-09-20 19:40:00,T1D0
50,2016-09-20 19:40:00,T3D1
48,2016-09-20 19:40:00,T3D0
40,2016-09-20 19:40:00,T2D0
34,2016-09-20 20:00:00,T1D1
12,2016-09-20 20:00:00,T1D0
62,2016-09-20 20:00:00,T3D1
62,2016-09-20 20:00:00,T3D0
35,2016-09-20 20:00:00,T2D0
42,2016-09-20 20:20:00,T1D1
16,2016-09-20 20:20:00,T1D0
48,2016-09-20 20:20:00,T3D1
55,2016-09-20 20:20:00,T3D0
31,2016-09-20 20:20:00,T2D0
37,2016-09-20 20:40:00,T1D1
16,2016-09-20 20:40:00,T1D0
49,2016-09-20 20:40:00,T3D1
45,2016-09-20 20:40:00,T3D0
30,2016-09-20 20:40:00,T2D0
41,2016-09-20 21:00:00,T1D1
17,2016-09-20 21:00:00,T1D0
29,2016-09-20 21:00:00,T3D1
47,2016-09-20 21:00:00,T3D0
27,2016-09-20 21:00:00,T2D0
42,2016-09-20 21:20:00,T1D1
29,2016-09-20 21:20:00,T1D0
44,2016-09-20 21:20:00,T3D1
38,2016-09-20 21:20:00,T3D0
21,2016-09-20 21:20:00,T2D0
39,2016-09-20 21:40:00,T1D1
37,2016-09-20 21:40:00,T1D0
38,2016-09-20 21:40:00,T3D1
32,2016-09-20 21:40:00,T3D0
5,2016-09-20 21:40:00,T2D0
32,2016-09-20 22:00:00,T1D1
30,2016-09-20 22:00:00,T1D0
23,2016-09-20 22:00:00,T3D1
27,2016-09-20 22:00:00,T3D0
5,2016-09-20 22:00:00,T2D0
30,2016-09-20 22:20:00,T1D1
17,2016-09-20 22:20:00,T1D0
33,2016-09-20 22:20:00,T3D1
22,2016-09-20 22:20:00,T3D0
6,2016-09-20 22:20:00,T2D0
24,2016-09-20 22:40:00,T1D1
19,2016-09-20 22:40:00,T1D0
34,2016-09-20 22:40:00,T3D1
29,2016-09-20 22:40:00,T3D0
12,2016-09-20 23:00:00,T1D1
20,2016-09-20 23:00:00,T1D0
10,2016-09-20 23:00:00,T3D1
13,2016-09-20 23:00:00,T3D0
5,2016-09-20 23:00:00,T2D0
22,2016-09-20 23:20:00,T1D1
7,2016-09-20 23:20:00,T1D0
20,2016-09-20 23:20:00,T3D1
27,2016-09-20 23:20:00,T3D0
7,2016-09-20 23:20:00,T2D0
14,2016-09-20 23:40:00,T1D1
11,2016-09-20 23:40:00,T1D0
13,2016-09-20 23:40:00,T3D1
23,2016-09-20 23:40:00,T3D0
5,2016-09-20 23:40:00,T2D0
97,2016-09-21 00:00:00,T1D1
12,2016-09-21 00:00:00,T1D0
124,2016-09-21 00:00:00,T3D1
19,2016-09-21 00:00:00,T3D0
