"intersection_id","tollgate_id","time_window","avg_travel_time","sum_travel_time"
"B","3","[2016-07-19 17:40:00,2016-07-19 18:00:00)","109.3","109.3"
"B","3","[2016-07-19 18:00:00,2016-07-19 18:20:00)","108.3","216.6"
"B","3","[2016-07-19 18:20:00,2016-07-19 18:40:00)","91.94","183.87"
"B","3","[2016-07-19 18:40:00,2016-07-19 19:00:00)","106.92","534.59"
"B","3","[2016-07-19 19:20:00,2016-07-19 19:40:00)","115.99","695.93"
"B","3","[2016-07-19 19:40:00,2016-07-19 20:00:00)","209.49","209.49"
"B","3","[2016-07-19 20:00:00,2016-07-19 20:20:00)","112.25","224.51"
"B","3","[2016-07-19 20:40:00,2016-07-19 21:00:00)","96.82","387.3"
"B","3","[2016-07-19 21:20:00,2016-07-19 21:40:00)","133.02","266.05"
"B","3","[2016-07-19 21:40:00,2016-07-19 22:00:00)","96.96","290.87"
"B","3","[2016-07-19 22:00:00,2016-07-19 22:20:00)","149.31","298.63"
"B","3","[2016-07-19 22:20:00,2016-07-19 22:40:00)","100.55","100.55"
"B","3","[2016-07-19 23:00:00,2016-07-19 23:20:00)","97.07","97.07"
"B","3","[2016-07-19 23:40:00,2016-07-20 00:00:00)","121.11","242.22"
"B","3","[2016-07-20 01:00:00,2016-07-20 01:20:00)","93.17","186.35"
"B","3","[2016-07-20 01:40:00,2016-07-20 02:00:00)","33.25","33.25"
"B","3","[2016-07-20 02:20:00,2016-07-20 02:40:00)","127.48","254.96"
"B","3","[2016-07-20 02:40:00,2016-07-20 03:00:00)","157.13","157.13"
"B","3","[2016-07-20 03:00:00,2016-07-20 03:20:00)","125.75","125.75"
"B","3","[2016-07-20 03:20:00,2016-07-20 03:40:00)","104.71","209.42"
"B","3","[2016-07-20 03:40:00,2016-07-20 04:00:00)","148.14","148.14"
"B","3","[2016-07-20 04:00:00,2016-07-20 04:20:00)","113.72","227.43"
"B","3","[2016-07-20 04:20:00,2016-07-20 04:40:00)","129.63","129.63"
"B","3","[2016-07-20 04:40:00,2016-07-20 05:00:00)","59.88","59.88"
"B","3","[2016-07-20 06:00:00,2016-07-20 06:20:00)","112.36","224.71"
"B","3","[2016-07-20 06:20:00,2016-07-20 06:40:00)","386.44","386.44"
"B","3","[2016-07-20 06:40:00,2016-07-20 07:00:00)","130.59","391.77"
"B","3","[2016-07-20 07:00:00,2016-07-20 07:20:00)","122.35","122.35"
"B","3","[2016-07-20 07:20:00,2016-07-20 07:40:00)","133.2","532.82"
"B","3","[2016-07-20 07:40:00,2016-07-20 08:00:00)","137.98","413.93"
"B","3","[2016-07-20 08:00:00,2016-07-20 08:20:00)","182.66","547.97"
"B","3","[2016-07-20 08:20:00,2016-07-20 08:40:00)","127.68","766.1"
"B","3","[2016-07-20 08:40:00,2016-07-20 09:00:00)","134.42","1747.51"
"B","3","[2016-07-20 09:00:00,2016-07-20 09:20:00)","114.74","229.48"
"B","3","[2016-07-20 09:20:00,2016-07-20 09:40:00)","142.06","426.18"
"B","3","[2016-07-20 09:40:00,2016-07-20 10:00:00)","170.11","680.44"
"B","3","[2016-07-20 10:20:00,2016-07-20 10:40:00)","146.52","439.55"
"B","3","[2016-07-20 10:40:00,2016-07-20 11:00:00)","119.25","596.25"
"B","3","[2016-07-20 11:00:00,2016-07-20 11:20:00)","126.27","505.06"
"B","3","[2016-07-20 11:20:00,2016-07-20 11:40:00)","157.7","473.11"
"B","3","[2016-07-20 11:40:00,2016-07-20 12:00:00)","80.52","241.57"
"B","3","[2016-07-20 12:00:00,2016-07-20 12:20:00)","111.79","670.75"
"B","3","[2016-07-20 12:20:00,2016-07-20 12:40:00)","47.27","141.8"
"B","3","[2016-07-20 12:40:00,2016-07-20 13:00:00)","82.82","828.22"
"B","3","[2016-07-20 13:00:00,2016-07-20 13:20:00)","117.0","467.99"
"B","3","[2016-07-20 13:20:00,2016-07-20 13:40:00)","65.45","261.79"
"B","3","[2016-07-20 13:40:00,2016-07-20 14:00:00)","127.1","381.29"
"B","3","[2016-07-20 14:00:00,2016-07-20 14:20:00)","95.36","286.09"
"B","3","[2016-07-20 14:40:00,2016-07-20 15:00:00)","128.78","386.34"
"B","3","[2016-07-20 15:00:00,2016-07-20 15:20:00)","54.23","108.45"
"B","3","[2016-07-20 15:20:00,2016-07-20 15:40:00)","134.65","403.95"
"B","3","[2016-07-20 15:40:00,2016-07-20 16:00:00)","174.75","349.5"
"B","3","[2016-07-20 16:00:00,2016-07-20 16:20:00)","130.69","261.37"
"B","3","[2016-07-20 16:20:00,2016-07-20 16:40:00)","98.28","196.56"
"B","3","[2016-07-20 16:40:00,2016-07-20 17:00:00)","98.73","493.67"
"B","3","[2016-07-20 17:00:00,2016-07-20 17:20:00)","114.94","459.76"
"B","3","[2016-07-20 17:20:00,2016-07-20 17:40:00)","131.36","919.53"
"B","3","[2016-07-20 17:40:00,2016-07-20 18:00:00)","134.24","402.73"
"B","3","[2016-07-20 18:00:00,2016-07-20 18:20:00)","101.55","507.77"
"B","3","[2016-07-20 18:20:00,2016-07-20 18:40:00)","113.77","455.07"
"B","3","[2016-07-20 18:40:00,2016-07-20 19:00:00)","89.67","448.34"
"B","3","[2016-07-20 19:00:00,2016-07-20 19:20:00)","114.53","687.19"
"B","3","[2016-07-20 19:20:00,2016-07-20 19:40:00)","90.8","363.18"
"B","3","[2016-07-20 19:40:00,2016-07-20 20:00:00)","103.43","310.29"
"B","3","[2016-07-20 20:00:00,2016-07-20 20:20:00)","91.33","456.67"
"B","3","[2016-07-20 20:20:00,2016-07-20 20:40:00)","156.44","312.89"
"B","3","[2016-07-20 20:40:00,2016-07-20 21:00:00)","78.35","156.71"
"B","3","[2016-07-20 21:00:00,2016-07-20 21:20:00)","85.88","343.52"
"B","3","[2016-07-20 21:40:00,2016-07-20 22:00:00)","111.47","334.41"
"B","3","[2016-07-20 22:00:00,2016-07-20 22:20:00)","91.52","183.03"
"B","3","[2016-07-20 23:00:00,2016-07-20 23:20:00)","137.86","137.86"
"B","3","[2016-07-20 23:40:00,2016-07-21 00:00:00)","112.89","564.43"
"B","3","[2016-07-21 00:00:00,2016-07-21 00:20:00)","85.0","170.01"
"B","3","[2016-07-21 01:20:00,2016-07-21 01:40:00)","65.78","131.57"
"B","3","[2016-07-21 04:20:00,2016-07-21 04:40:00)","393.05","393.05"
"B","3","[2016-07-21 06:00:00,2016-07-21 06:20:00)","166.81","333.61"
"B","3","[2016-07-21 06:20:00,2016-07-21 06:40:00)","136.67","136.67"
"B","3","[2016-07-21 06:40:00,2016-07-21 07:00:00)","55.92","55.92"
"B","3","[2016-07-21 07:00:00,2016-07-21 07:20:00)","206.59","206.59"
"B","3","[2016-07-21 07:20:00,2016-07-21 07:40:00)","113.78","341.35"
"B","3","[2016-07-21 07:40:00,2016-07-21 08:00:00)","146.58","586.32"
"B","3","[2016-07-21 08:00:00,2016-07-21 08:20:00)","107.11","214.23"
"B","3","[2016-07-21 10:40:00,2016-07-21 11:00:00)","180.27","721.06"
"B","3","[2016-07-21 11:00:00,2016-07-21 11:20:00)","54.8","164.41"
"B","3","[2016-07-21 11:20:00,2016-07-21 11:40:00)","108.52","217.04"
"B","3","[2016-07-21 11:40:00,2016-07-21 12:00:00)","168.37","168.37"
"B","3","[2016-07-21 12:00:00,2016-07-21 12:20:00)","61.47","61.47"
"B","3","[2016-07-21 12:20:00,2016-07-21 12:40:00)","132.24","661.22"
"B","3","[2016-07-21 12:40:00,2016-07-21 13:00:00)","113.74","682.42"
"B","3","[2016-07-21 13:00:00,2016-07-21 13:20:00)","56.73","56.73"
"B","3","[2016-07-21 13:20:00,2016-07-21 13:40:00)","144.33","288.66"
"B","3","[2016-07-21 13:40:00,2016-07-21 14:00:00)","99.39","496.97"
"B","3","[2016-07-21 14:00:00,2016-07-21 14:20:00)","103.31","516.53"
"B","3","[2016-07-21 14:20:00,2016-07-21 14:40:00)","51.84","103.67"
"B","3","[2016-07-21 14:40:00,2016-07-21 15:00:00)","111.76","447.05"
"B","3","[2016-07-21 15:00:00,2016-07-21 15:20:00)","114.77","229.54"
"B","3","[2016-07-21 15:20:00,2016-07-21 15:40:00)","116.49","349.47"
"B","3","[2016-07-21 15:40:00,2016-07-21 16:00:00)","75.82","227.45"
"B","3","[2016-07-21 16:00:00,2016-07-21 16:20:00)","97.67","293.01"
"B","3","[2016-07-21 16:20:00,2016-07-21 16:40:00)","140.7","422.1"
"B","3","[2016-07-21 16:40:00,2016-07-21 17:00:00)","115.48","577.38"
"B","3","[2016-07-21 17:20:00,2016-07-21 17:40:00)","125.52","502.08"
"B","3","[2016-07-21 17:40:00,2016-07-21 18:00:00)","110.95","221.89"
"B","3","[2016-07-21 18:00:00,2016-07-21 18:20:00)","95.16","190.32"
"B","3","[2016-07-21 18:20:00,2016-07-21 18:40:00)","131.44","394.31"
"B","3","[2016-07-21 18:40:00,2016-07-21 19:00:00)","169.79","339.58"
"B","3","[2016-07-21 19:00:00,2016-07-21 19:20:00)","105.57","527.84"
"B","3","[2016-07-21 19:20:00,2016-07-21 19:40:00)","96.17","96.17"
"B","3","[2016-07-21 19:40:00,2016-07-21 20:00:00)","119.58","119.58"
"B","3","[2016-07-21 20:00:00,2016-07-21 20:20:00)","101.77","610.59"
"B","3","[2016-07-21 20:20:00,2016-07-21 20:40:00)","117.65","588.27"
"B","3","[2016-07-21 20:40:00,2016-07-21 21:00:00)","124.2","372.61"
"B","3","[2016-07-21 21:00:00,2016-07-21 21:20:00)","93.9","187.79"
"B","3","[2016-07-21 21:20:00,2016-07-21 21:40:00)","93.98","93.98"
"B","3","[2016-07-21 22:00:00,2016-07-21 22:20:00)","105.9","211.8"
"B","3","[2016-07-21 22:20:00,2016-07-21 22:40:00)","118.73","356.18"
"B","3","[2016-07-21 23:00:00,2016-07-21 23:20:00)","127.51","382.52"
"B","3","[2016-07-21 23:20:00,2016-07-21 23:40:00)","86.59","86.59"
"B","3","[2016-07-21 23:40:00,2016-07-22 00:00:00)","142.16","568.65"
"B","3","[2016-07-22 01:00:00,2016-07-22 01:20:00)","165.66","165.66"
"B","3","[2016-07-22 03:00:00,2016-07-22 03:20:00)","12.75","12.75"
"B","3","[2016-07-22 04:40:00,2016-07-22 05:00:00)","195.47","390.93"
"B","3","[2016-07-22 05:00:00,2016-07-22 05:20:00)","96.23","96.23"
"B","3","[2016-07-22 05:20:00,2016-07-22 05:40:00)","154.3","154.3"
"B","3","[2016-07-22 05:40:00,2016-07-22 06:00:00)","195.81","195.81"
"B","3","[2016-07-22 06:00:00,2016-07-22 06:20:00)","189.33","189.33"
"B","3","[2016-07-22 06:20:00,2016-07-22 06:40:00)","75.94","75.94"
"B","3","[2016-07-22 06:40:00,2016-07-22 07:00:00)","72.47","144.95"
"B","3","[2016-07-22 07:00:00,2016-07-22 07:20:00)","90.79","272.36"
"B","3","[2016-07-22 07:20:00,2016-07-22 07:40:00)","88.86","177.73"
"B","3","[2016-07-22 07:40:00,2016-07-22 08:00:00)","180.59","361.18"
"B","3","[2016-07-22 08:00:00,2016-07-22 08:20:00)","126.73","380.18"
"B","3","[2016-07-22 08:20:00,2016-07-22 08:40:00)","217.6","217.6"
"B","3","[2016-07-22 08:40:00,2016-07-22 09:00:00)","121.92","487.7"
"B","3","[2016-07-22 09:00:00,2016-07-22 09:20:00)","161.56","969.38"
"B","3","[2016-07-22 09:20:00,2016-07-22 09:40:00)","113.62","340.86"
"B","3","[2016-07-22 09:40:00,2016-07-22 10:00:00)","137.22","411.67"
"B","3","[2016-07-22 10:00:00,2016-07-22 10:20:00)","133.78","535.11"
"B","3","[2016-07-22 10:40:00,2016-07-22 11:00:00)","215.2","860.82"
"B","3","[2016-07-22 11:00:00,2016-07-22 11:20:00)","112.08","672.51"
"B","3","[2016-07-22 11:20:00,2016-07-22 11:40:00)","99.19","495.94"
"B","3","[2016-07-22 11:40:00,2016-07-22 12:00:00)","81.48","325.91"
"B","3","[2016-07-22 12:00:00,2016-07-22 12:20:00)","124.93","249.86"
"B","3","[2016-07-22 12:20:00,2016-07-22 12:40:00)","82.83","165.65"
"B","3","[2016-07-22 12:40:00,2016-07-22 13:00:00)","200.47","1202.85"
"B","3","[2016-07-22 13:00:00,2016-07-22 13:20:00)","101.82","305.46"
"B","3","[2016-07-22 13:20:00,2016-07-22 13:40:00)","69.63","278.53"
"B","3","[2016-07-22 13:40:00,2016-07-22 14:00:00)","88.79","266.37"
"B","3","[2016-07-22 14:00:00,2016-07-22 14:20:00)","117.05","468.18"
"B","3","[2016-07-22 14:20:00,2016-07-22 14:40:00)","90.71","181.41"
"B","3","[2016-07-22 14:40:00,2016-07-22 15:00:00)","128.29","641.45"
"B","3","[2016-07-22 15:00:00,2016-07-22 15:20:00)","129.11","645.55"
"B","3","[2016-07-22 15:20:00,2016-07-22 15:40:00)","101.98","611.88"
"B","3","[2016-07-22 15:40:00,2016-07-22 16:00:00)","101.56","710.95"
"B","3","[2016-07-22 16:00:00,2016-07-22 16:20:00)","130.6","914.2"
"B","3","[2016-07-22 16:20:00,2016-07-22 16:40:00)","113.65","227.3"
"B","3","[2016-07-22 16:40:00,2016-07-22 17:00:00)","84.49","591.4"
"B","3","[2016-07-22 17:00:00,2016-07-22 17:20:00)","115.19","230.37"
"B","3","[2016-07-22 17:20:00,2016-07-22 17:40:00)","136.99","547.95"
"B","3","[2016-07-22 17:40:00,2016-07-22 18:00:00)","191.51","574.54"
"B","3","[2016-07-22 18:00:00,2016-07-22 18:20:00)","105.54","633.25"
"B","3","[2016-07-22 18:20:00,2016-07-22 18:40:00)","82.42","576.96"
"B","3","[2016-07-22 18:40:00,2016-07-22 19:00:00)","91.96","735.65"
"B","3","[2016-07-22 19:00:00,2016-07-22 19:20:00)","111.78","335.35"
"B","3","[2016-07-22 19:20:00,2016-07-22 19:40:00)","113.59","227.18"
"B","3","[2016-07-22 19:40:00,2016-07-22 20:00:00)","125.72","251.43"
"B","3","[2016-07-22 20:00:00,2016-07-22 20:20:00)","137.06","274.13"
"B","3","[2016-07-22 20:20:00,2016-07-22 20:40:00)","143.25","286.5"
"B","3","[2016-07-22 20:40:00,2016-07-22 21:00:00)","109.69","329.07"
"B","3","[2016-07-22 21:00:00,2016-07-22 21:20:00)","83.7","83.7"
"B","3","[2016-07-22 21:40:00,2016-07-22 22:00:00)","141.53","283.05"
"B","3","[2016-07-22 22:00:00,2016-07-22 22:20:00)","118.16","472.66"
"B","3","[2016-07-22 22:20:00,2016-07-22 22:40:00)","66.34","66.34"
"B","3","[2016-07-22 22:40:00,2016-07-22 23:00:00)","118.93","237.86"
"B","3","[2016-07-22 23:00:00,2016-07-22 23:20:00)","62.51","62.51"
"B","3","[2016-07-22 23:20:00,2016-07-22 23:40:00)","154.56","154.56"
"B","3","[2016-07-22 23:40:00,2016-07-23 00:00:00)","136.23","136.23"
"B","3","[2016-07-23 00:20:00,2016-07-23 00:40:00)","141.81","283.63"
"B","3","[2016-07-23 00:40:00,2016-07-23 01:00:00)","129.47","647.37"
"B","3","[2016-07-23 01:20:00,2016-07-23 01:40:00)","175.45","175.45"
"B","3","[2016-07-23 01:40:00,2016-07-23 02:00:00)","129.42","258.83"
"B","3","[2016-07-23 02:40:00,2016-07-23 03:00:00)","140.77","281.54"
"B","3","[2016-07-23 03:40:00,2016-07-23 04:00:00)","115.58","231.15"
"B","3","[2016-07-23 04:40:00,2016-07-23 05:00:00)","133.78","267.57"
"B","3","[2016-07-23 05:20:00,2016-07-23 05:40:00)","162.52","162.52"
"B","3","[2016-07-23 06:00:00,2016-07-23 06:20:00)","46.66","93.32"
"B","3","[2016-07-23 06:20:00,2016-07-23 06:40:00)","95.37","95.37"
"B","3","[2016-07-23 06:40:00,2016-07-23 07:00:00)","161.2","161.2"
"B","3","[2016-07-23 07:00:00,2016-07-23 07:20:00)","130.15","520.59"
"B","3","[2016-07-23 07:20:00,2016-07-23 07:40:00)","63.18","189.53"
"B","3","[2016-07-23 07:40:00,2016-07-23 08:00:00)","100.59","502.94"
"B","3","[2016-07-23 08:00:00,2016-07-23 08:20:00)","157.78","473.35"
"B","3","[2016-07-23 08:20:00,2016-07-23 08:40:00)","60.5","121.0"
"B","3","[2016-07-23 08:40:00,2016-07-23 09:00:00)","92.48","184.97"
"B","3","[2016-07-23 09:00:00,2016-07-23 09:20:00)","153.16","918.99"
"B","3","[2016-07-23 09:20:00,2016-07-23 09:40:00)","144.09","720.47"
"B","3","[2016-07-23 10:00:00,2016-07-23 10:20:00)","125.13","1126.18"
"B","3","[2016-07-23 10:20:00,2016-07-23 10:40:00)","141.22","141.22"
"B","3","[2016-07-23 10:40:00,2016-07-23 11:00:00)","132.74","398.21"
"B","3","[2016-07-23 11:00:00,2016-07-23 11:20:00)","151.06","755.29"
"B","3","[2016-07-23 11:20:00,2016-07-23 11:40:00)","94.56","189.12"
"B","3","[2016-07-23 11:40:00,2016-07-23 12:00:00)","111.91","671.48"
"B","3","[2016-07-23 12:00:00,2016-07-23 12:20:00)","101.03","303.1"
"B","3","[2016-07-23 12:20:00,2016-07-23 12:40:00)","79.68","239.03"
"B","3","[2016-07-23 12:40:00,2016-07-23 13:00:00)","98.16","588.94"
"B","3","[2016-07-23 13:00:00,2016-07-23 13:20:00)","139.54","558.16"
"B","3","[2016-07-23 13:20:00,2016-07-23 13:40:00)","101.43","405.71"
"B","3","[2016-07-23 13:40:00,2016-07-23 14:00:00)","123.31","739.83"
"B","3","[2016-07-23 14:00:00,2016-07-23 14:20:00)","112.96","903.66"
"B","3","[2016-07-23 14:20:00,2016-07-23 14:40:00)","137.47","687.35"
"B","3","[2016-07-23 14:40:00,2016-07-23 15:00:00)","139.25","557.02"
"B","3","[2016-07-23 15:00:00,2016-07-23 15:20:00)","106.79","320.36"
"B","3","[2016-07-23 15:20:00,2016-07-23 15:40:00)","135.79","271.58"
"B","3","[2016-07-23 15:40:00,2016-07-23 16:00:00)","116.87","701.21"
"B","3","[2016-07-23 16:00:00,2016-07-23 16:20:00)","150.85","603.39"
"B","3","[2016-07-23 16:20:00,2016-07-23 16:40:00)","145.74","874.46"
"B","3","[2016-07-23 16:40:00,2016-07-23 17:00:00)","120.62","482.48"
"B","3","[2016-07-23 17:00:00,2016-07-23 17:20:00)","116.16","348.49"
"B","3","[2016-07-23 17:20:00,2016-07-23 17:40:00)","122.16","488.64"
"B","3","[2016-07-23 17:40:00,2016-07-23 18:00:00)","124.94","374.82"
"B","3","[2016-07-23 18:00:00,2016-07-23 18:20:00)","140.63","562.54"
"B","3","[2016-07-23 18:20:00,2016-07-23 18:40:00)","63.35","63.35"
"B","3","[2016-07-23 18:40:00,2016-07-23 19:00:00)","126.81","380.43"
"B","3","[2016-07-23 19:00:00,2016-07-23 19:20:00)","103.21","206.42"
"B","3","[2016-07-23 19:20:00,2016-07-23 19:40:00)","78.76","236.28"
"B","3","[2016-07-23 19:40:00,2016-07-23 20:00:00)","189.6","947.98"
"B","3","[2016-07-23 20:00:00,2016-07-23 20:20:00)","199.56","199.56"
"B","3","[2016-07-23 20:20:00,2016-07-23 20:40:00)","140.22","420.65"
"B","3","[2016-07-23 20:40:00,2016-07-23 21:00:00)","89.31","625.17"
"B","3","[2016-07-23 21:00:00,2016-07-23 21:20:00)","110.15","550.74"
"B","3","[2016-07-23 21:20:00,2016-07-23 21:40:00)","102.53","922.79"
"B","3","[2016-07-23 21:40:00,2016-07-23 22:00:00)","142.98","857.88"
"B","3","[2016-07-23 22:00:00,2016-07-23 22:20:00)","95.51","382.05"
"B","3","[2016-07-23 22:20:00,2016-07-23 22:40:00)","125.84","377.51"
"B","3","[2016-07-23 22:40:00,2016-07-23 23:00:00)","99.16","396.64"
"B","3","[2016-07-23 23:00:00,2016-07-23 23:20:00)","107.84","862.75"
"B","3","[2016-07-23 23:20:00,2016-07-23 23:40:00)","137.87","551.47"
"B","3","[2016-07-23 23:40:00,2016-07-24 00:00:00)","143.38","430.15"
"B","3","[2016-07-24 00:00:00,2016-07-24 00:20:00)","120.79","1087.09"
"B","3","[2016-07-24 00:40:00,2016-07-24 01:00:00)","70.16","140.31"
"B","3","[2016-07-24 01:00:00,2016-07-24 01:20:00)","153.09","459.28"
"B","3","[2016-07-24 01:20:00,2016-07-24 01:40:00)","175.41","175.41"
"B","3","[2016-07-24 01:40:00,2016-07-24 02:00:00)","94.39","94.39"
"B","3","[2016-07-24 02:20:00,2016-07-24 02:40:00)","72.42","217.27"
"B","3","[2016-07-24 02:40:00,2016-07-24 03:00:00)","123.95","371.85"
"B","3","[2016-07-24 03:00:00,2016-07-24 03:20:00)","87.88","263.63"
"B","3","[2016-07-24 03:20:00,2016-07-24 03:40:00)","107.02","535.08"
"B","3","[2016-07-24 03:40:00,2016-07-24 04:00:00)","105.51","105.51"
"B","3","[2016-07-24 04:00:00,2016-07-24 04:20:00)","110.32","551.6"
"B","3","[2016-07-24 04:20:00,2016-07-24 04:40:00)","124.14","372.42"
"B","3","[2016-07-24 04:40:00,2016-07-24 05:00:00)","107.53","215.06"
"B","3","[2016-07-24 05:00:00,2016-07-24 05:20:00)","121.83","121.83"
"B","3","[2016-07-24 06:00:00,2016-07-24 06:20:00)","62.89","62.89"
"B","3","[2016-07-24 06:20:00,2016-07-24 06:40:00)","102.01","102.01"
"B","3","[2016-07-24 06:40:00,2016-07-24 07:00:00)","144.59","289.17"
"B","3","[2016-07-24 07:00:00,2016-07-24 07:20:00)","70.05","70.05"
"B","3","[2016-07-24 07:20:00,2016-07-24 07:40:00)","106.57","319.72"
"B","3","[2016-07-24 07:40:00,2016-07-24 08:00:00)","115.18","806.25"
"B","3","[2016-07-24 08:00:00,2016-07-24 08:20:00)","36.31","36.31"
"B","3","[2016-07-24 08:20:00,2016-07-24 08:40:00)","149.99","449.96"
"B","3","[2016-07-24 08:40:00,2016-07-24 09:00:00)","16.61","16.61"
"B","3","[2016-07-24 09:00:00,2016-07-24 09:20:00)","98.77","790.16"
"B","3","[2016-07-24 09:20:00,2016-07-24 09:40:00)","101.02","606.13"
"B","3","[2016-07-24 09:40:00,2016-07-24 10:00:00)","272.87","545.74"
"B","3","[2016-07-24 10:00:00,2016-07-24 10:20:00)","181.31","1450.5"
"B","3","[2016-07-24 10:20:00,2016-07-24 10:40:00)","115.27","461.06"
"B","3","[2016-07-24 10:40:00,2016-07-24 11:00:00)","154.54","772.71"
"B","3","[2016-07-24 11:00:00,2016-07-24 11:20:00)","153.08","1224.64"
"B","3","[2016-07-24 11:20:00,2016-07-24 11:40:00)","140.98","281.96"
"B","3","[2016-07-24 11:40:00,2016-07-24 12:00:00)","123.75","495.02"
"B","3","[2016-07-24 12:00:00,2016-07-24 12:20:00)","90.95","545.7"
"B","3","[2016-07-24 12:20:00,2016-07-24 12:40:00)","95.36","572.16"
"B","3","[2016-07-24 12:40:00,2016-07-24 13:00:00)","123.38","246.76"
"B","3","[2016-07-24 13:00:00,2016-07-24 13:20:00)","131.47","525.89"
"B","3","[2016-07-24 13:20:00,2016-07-24 13:40:00)","83.6","83.6"
"B","3","[2016-07-24 13:40:00,2016-07-24 14:00:00)","107.08","214.16"
"B","3","[2016-07-24 14:00:00,2016-07-24 14:20:00)","122.22","488.89"
"B","3","[2016-07-24 14:20:00,2016-07-24 14:40:00)","150.78","904.67"
"B","3","[2016-07-24 14:40:00,2016-07-24 15:00:00)","185.07","185.07"
"B","3","[2016-07-24 15:00:00,2016-07-24 15:20:00)","143.98","431.94"
"B","3","[2016-07-24 15:20:00,2016-07-24 15:40:00)","125.73","880.13"
"B","3","[2016-07-24 15:40:00,2016-07-24 16:00:00)","137.23","960.62"
"B","3","[2016-07-24 16:00:00,2016-07-24 16:20:00)","136.03","1088.28"
"B","3","[2016-07-24 16:20:00,2016-07-24 16:40:00)","106.89","748.26"
"B","3","[2016-07-24 16:40:00,2016-07-24 17:00:00)","127.72","766.32"
"B","3","[2016-07-24 17:00:00,2016-07-24 17:20:00)","248.15","2481.45"
